기간,자치구,구분,합계,안전운전의무불이행,중앙선침범,과속,신호위반,교차로통행방법위반,안전거리미확보,기타
2020,합계,발생건수,"35,227","19,537",953,102,"4,103","1,322","5,110","4,100"
2020,합계,사망자수,219,141,5,17,31,2,7,16
2020,합계,부상자수,"47,513","25,510","1,417",162,"6,105","1,868","7,520","4,931"
2020,종로구,발생건수,903,463,31,-,108,30,166,105
2020,종로구,사망자수,5,4,-,-,-,-,1,-
2020,종로구,부상자수,"1,224",597,56,-,165,37,247,122
2020,중구,발생건수,955,480,30,3,118,24,197,103
2020,중구,사망자수,6,4,-,2,-,-,-,-
2020,중구,부상자수,"1,248",585,42,3,172,37,293,116
2020,용산구,발생건수,890,509,24,10,96,14,154,83
2020,용산구,사망자수,12,10,-,1,1,-,-,-
2020,용산구,부상자수,"1,178",626,47,16,143,17,231,98
2020,성동구,발생건수,"1,119",615,31,5,132,44,185,107
2020,성동구,사망자수,9,7,-,1,1,-,-,-
2020,성동구,부상자수,"1,481",785,53,9,189,58,260,127
2020,광진구,발생건수,869,492,23,3,101,32,131,87
2020,광진구,사망자수,4,2,-,-,1,-,-,1
2020,광진구,부상자수,"1,145",623,41,8,154,36,180,103
2020,동대문구,발생건수,"1,448",753,49,5,206,28,204,203
2020,동대문구,사망자수,10,6,1,-,2,-,-,1
2020,동대문구,부상자수,"1,845",953,68,5,295,34,260,230
2020,중랑구,발생건수,"1,447",691,46,2,169,131,187,221
2020,중랑구,사망자수,4,2,-,1,1,-,-,-
2020,중랑구,부상자수,"1,952",869,73,3,258,211,276,262
2020,성북구,발생건수,"1,275",646,46,-,141,32,257,153
2020,성북구,사망자수,7,5,-,-,-,-,1,1
2020,성북구,부상자수,"1,622",810,67,-,188,35,345,177
2020,강북구,발생건수,"1,087",619,37,3,121,31,148,128
2020,강북구,사망자수,3,-,1,1,1,-,-,-
2020,강북구,부상자수,"1,420",786,58,3,165,47,209,152
2020,도봉구,발생건수,741,404,19,2,114,18,73,111
2020,도봉구,사망자수,7,3,-,1,1,1,-,1
2020,도봉구,부상자수,990,523,21,2,191,25,102,126
2020,노원구,발생건수,"1,462",807,53,6,168,73,203,152
2020,노원구,사망자수,5,-,-,2,2,-,1,-
2020,노원구,부상자수,"2,016","1,118",74,9,232,117,289,177
2020,은평구,발생건수,953,560,18,4,156,39,60,116
2020,은평구,사망자수,14,11,-,2,1,-,-,-
2020,은평구,부상자수,"1,415",730,41,3,345,63,87,146
2020,서대문구,발생건수,928,503,14,4,106,66,108,127
2020,서대문구,사망자수,6,5,-,-,1,-,-,-
2020,서대문구,부상자수,"1,256",637,19,10,168,85,182,155
2020,마포구,발생건수,"1,272",675,29,1,154,39,184,190
2020,마포구,사망자수,13,11,-,-,2,-,-,-
2020,마포구,부상자수,"1,754",935,42,2,207,52,266,250
2020,양천구,발생건수,"1,344",773,28,3,131,66,244,99
2020,양천구,사망자수,7,5,-,-,1,-,-,1
2020,양천구,부상자수,"1,829","1,034",42,3,162,98,369,121
2020,강서구,발생건수,"1,575",950,58,8,225,37,132,165
2020,강서구,사망자수,17,11,-,1,3,-,-,2
2020,강서구,부상자수,"2,131","1,238",85,14,356,53,188,197
2020,구로구,발생건수,"1,325",720,46,5,177,44,189,144
2020,구로구,사망자수,10,6,-,1,1,-,1,1
2020,구로구,부상자수,"1,810",959,65,7,261,58,289,171
2020,금천구,발생건수,810,491,26,-,122,9,78,84
2020,금천구,사망자수,6,3,-,-,1,-,1,1
2020,금천구,부상자수,"1,084",661,34,-,184,14,99,92
2020,영등포구,발생건수,"2,208","1,320",78,3,291,30,296,190
2020,영등포구,사망자수,7,5,-,-,2,-,-,-
2020,영등포구,부상자수,"3,102","1,765",121,9,458,47,469,233
2020,동작구,발생건수,"1,307",719,29,2,142,54,216,145
2020,동작구,사망자수,10,6,1,1,1,-,-,1
2020,동작구,부상자수,"1,819",990,33,2,218,77,339,160
2020,관악구,발생건수,"1,444",786,37,6,168,104,165,178
2020,관악구,사망자수,13,6,-,2,2,1,-,2
2020,관악구,부상자수,"1,819",966,42,6,222,144,222,217
2020,서초구,발생건수,"2,250","1,225",36,8,184,84,446,267
2020,서초구,사망자수,9,7,1,-,-,-,-,1
2020,서초구,부상자수,"3,075","1,681",46,14,260,113,643,318
2020,강남구,발생건수,"3,752","2,110",65,9,322,159,558,529
2020,강남구,사망자수,17,10,-,-,3,-,2,2
2020,강남구,부상자수,"5,189","2,808",94,18,471,228,879,691
2020,송파구,발생건수,"2,595","1,474",70,7,328,87,369,260
2020,송파구,사망자수,11,8,-,1,2,-,-,-
2020,송파구,부상자수,"3,509","1,914",113,11,476,121,561,313
2020,강동구,발생건수,"1,268",752,30,3,123,47,160,153
2020,강동구,사망자수,7,4,1,-,1,-,-,1
2020,강동구,부상자수,"1,600",917,40,5,165,61,235,177
